,t-5,t-4,t-3,t-2,t-1,target
249,54.06,45.98,52.2,50.95,45.98,44.12
250,45.98,52.2,50.95,45.98,44.12,50.95
251,52.2,50.95,45.98,44.12,50.95,57.17
252,50.95,45.98,44.12,50.95,57.17,55.3
253,45.98,44.12,50.95,57.17,55.3,55.3
254,44.12,50.95,57.17,55.3,55.3,55.3
255,50.95,57.17,55.3,55.3,55.3,57.17
256,57.17,55.3,55.3,55.3,57.17,52.82
257,55.3,55.3,55.3,57.17,52.82,54.06
258,55.3,55.3,57.17,52.82,54.06,55.92
259,55.3,57.17,52.82,54.06,55.92,55.92
260,57.17,52.82,54.06,55.92,55.92,52.82
261,52.82,54.06,55.92,55.92,52.82,55.3
262,54.06,55.92,55.92,52.82,55.3,55.3
263,55.92,55.92,52.82,55.3,55.3,55.92
264,55.92,52.82,55.3,55.3,55.92,52.82
265,52.82,55.3,55.3,55.92,52.82,52.82
266,55.3,55.3,55.92,52.82,52.82,55.92
267,55.3,55.92,52.82,52.82,55.92,54.06
268,55.92,52.82,52.82,55.92,54.06,55.3
269,52.82,52.82,55.92,54.06,55.3,54.06
270,52.82,55.92,54.06,55.3,54.06,52.82
271,55.92,54.06,55.3,54.06,52.82,54.06
272,54.06,55.3,54.06,52.82,54.06,55.92
273,55.3,54.06,52.82,54.06,55.92,55.92
274,54.06,52.82,54.06,55.92,55.92,55.92
275,52.82,54.06,55.92,55.92,55.92,57.17
276,54.06,55.92,55.92,55.92,57.17,54.06
277,55.92,55.92,55.92,57.17,54.06,55.92
278,55.92,55.92,57.17,54.06,55.92,57.17
279,55.92,57.17,54.06,55.92,57.17,55.92
280,57.17,54.06,55.92,57.17,55.92,57.17
281,54.06,55.92,57.17,55.92,57.17,57.17
282,55.92,57.17,55.92,57.17,57.17,57.17
283,57.17,55.92,57.17,57.17,57.17,60.89
284,55.92,57.17,57.17,57.17,60.89,60.27
285,57.17,57.17,57.17,60.89,60.27,62.14
286,57.17,57.17,60.89,60.27,62.14,59.03
287,57.17,60.89,60.27,62.14,59.03,60.27
288,60.89,60.27,62.14,59.03,60.27,59.03
289,60.27,62.14,59.03,60.27,59.03,62.14
290,62.14,59.03,60.27,59.03,62.14,60.27
291,59.03,60.27,59.03,62.14,60.27,60.27
292,60.27,59.03,62.14,60.27,60.27,60.27
293,59.03,62.14,60.27,60.27,60.27,55.92
294,62.14,60.27,60.27,60.27,55.92,60.27
295,60.27,60.27,60.27,55.92,60.27,57.79
296,60.27,60.27,55.92,60.27,57.79,60.89
297,60.27,55.92,60.27,57.79,60.89,60.27
298,55.92,60.27,57.79,60.89,60.27,60.27
299,60.27,57.79,60.89,60.27,60.27,60.27
300,57.79,60.89,60.27,60.27,60.27,59.03
301,60.89,60.27,60.27,60.27,59.03,60.27
302,60.27,60.27,60.27,59.03,60.27,62.76
303,60.27,60.27,59.03,60.27,62.76,60.89
304,60.27,59.03,60.27,62.76,60.89,60.27
305,59.03,60.27,62.76,60.89,60.27,60.27
306,60.27,62.76,60.89,60.27,60.27,57.17
307,62.76,60.89,60.27,60.27,57.17,59.03
308,60.89,60.27,60.27,57.17,59.03,62.76
309,60.27,60.27,57.17,59.03,62.76,62.76
310,60.27,57.17,59.03,62.76,62.76,60.27
311,57.17,59.03,62.76,62.76,60.27,60.27
312,59.03,62.76,62.76,60.27,60.27,64.0
313,62.76,62.76,60.27,60.27,64.0,62.14
314,62.76,60.27,60.27,64.0,62.14,60.89
315,60.27,60.27,64.0,62.14,60.89,62.76
316,60.27,64.0,62.14,60.89,62.76,65.87
317,64.0,62.14,60.89,62.76,65.87,62.76
318,62.14,60.89,62.76,65.87,62.76,65.24
319,60.89,62.76,65.87,62.76,65.24,62.14
320,62.76,65.87,62.76,65.24,62.14,60.89
321,65.87,62.76,65.24,62.14,60.89,60.89
322,62.76,65.24,62.14,60.89,60.89,59.03
323,65.24,62.14,60.89,60.89,59.03,57.79
324,62.14,60.89,60.89,59.03,57.79,60.27
325,60.89,60.89,59.03,57.79,60.27,60.27
326,60.89,59.03,57.79,60.27,60.27,60.89
327,59.03,57.79,60.27,60.27,60.89,60.27
328,57.79,60.27,60.27,60.89,60.27,57.17
329,60.27,60.27,60.89,60.27,57.17,57.17
330,60.27,60.89,60.27,57.17,57.17,57.79
331,60.89,60.27,57.17,57.17,57.79,57.79
332,60.27,57.17,57.17,57.79,57.79,59.03
333,57.17,57.17,57.79,57.79,59.03,60.27
334,57.17,57.79,57.79,59.03,60.27,60.27
335,57.79,57.79,59.03,60.27,60.27,60.27
336,57.79,59.03,60.27,60.27,60.27,60.27
337,59.03,60.27,60.27,60.27,60.27,60.27
338,60.27,60.27,60.27,60.27,60.27,59.03
339,60.27,60.27,60.27,60.27,59.03,60.27
340,60.27,60.27,60.27,59.03,60.27,59.03
341,60.27,60.27,59.03,60.27,59.03,59.03
342,60.27,59.03,60.27,59.03,59.03,59.03
343,59.03,60.27,59.03,59.03,59.03,60.27
344,60.27,59.03,59.03,59.03,60.27,60.89
345,59.03,59.03,59.03,60.27,60.89,60.89
346,59.03,59.03,60.27,60.89,60.89,62.14
347,59.03,60.27,60.89,60.89,62.14,57.79
348,60.27,60.89,60.89,62.14,57.79,60.27
349,60.89,60.89,62.14,57.79,60.27,60.89
350,60.89,62.14,57.79,60.27,60.89,59.03
351,62.14,57.79,60.27,60.89,59.03,60.27
